runtime_s,timestamp_us,timestamp_str,ir1,ir2,ir3,ir4,ir5,ir6,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
8.763070,8436034,8:436:034,0,0,0,0,0,0,0.977,-0.036,9.742,0.129,-0.040,0.004
8.862998,8536058,8:536:058,0,0,0,0,0,0,0.977,-0.036,9.742,0.129,-0.040,0.004
8.962942,8636045,8:636:045,0,0,0,0,0,0,0.977,-0.036,9.742,0.129,-0.040,0.004
9.062948,8736052,8:736:052,0,0,0,0,0,0,0.977,-0.036,9.742,0.129,-0.040,0.004
9.164298,8836045,8:836:045,0,0,0,0,0,0,0.984,-0.029,9.718,0.130,-0.041,0.004
9.263190,8936050,8:936:050,0,0,0,1,0,0,0.977,-0.017,9.735,0.129,-0.041,0.003
9.363121,9036041,9:036:041,0,0,0,1,0,0,0.977,-0.017,9.735,0.129,-0.041,0.003
9.462936,9136055,9:136:055,0,0,0,1,0,0,0.977,-0.017,9.735,0.129,-0.041,0.003
9.562925,9236038,9:236:038,0,0,0,1,0,0,0.977,-0.017,9.735,0.129,-0.041,0.003
9.664241,9336038,9:336:038,0,0,0,1,0,0,0.962,-0.022,9.720,0.128,-0.041,0.004
9.763799,9436034,9:436:034,0,0,0,1,0,0,0.962,-0.022,9.720,0.128,-0.041,0.004
9.862673,9536049,9:536:049,0,0,0,0,0,0,0.967,-0.043,9.713,0.129,-0.041,0.005
9.963854,9636051,9:636:051,0,0,0,0,0,0,0.977,-0.034,9.720,0.130,-0.041,0.004
10.063156,9736045,9:736:045,0,0,0,0,0,0,0.972,-0.026,9.718,0.129,-0.041,0.005
10.163320,9836058,9:836:058,0,0,0,0,0,0,0.955,-0.031,9.704,0.129,-0.041,0.004
10.264395,9936052,9:936:052,0,0,0,0,0,0,0.955,-0.031,9.704,0.129,-0.041,0.004
10.364141,10036032,10:036:032,0,0,0,0,0,0,0.977,-0.038,9.728,0.129,-0.041,0.004
10.464721,10136036,10:136:036,0,0,0,0,0,0,1.003,-0.026,9.723,0.129,-0.041,0.004
10.562667,10236036,10:236:036,0,0,0,0,0,0,0.977,-0.007,9.737,0.129,-0.041,0.003
10.664005,10336045,10:336:045,0,0,0,0,0,0,0.979,-0.010,9.718,0.129,-0.041,0.004
10.764177,10436050,10:436:050,0,0,0,0,0,0,0.979,-0.010,9.718,0.129,-0.041,0.004
10.864235,10536061,10:536:061,0,0,0,0,0,0,0.998,-0.045,9.725,0.129,-0.041,0.004
10.963920,10636053,10:636:053,0,0,1,0,0,0,0.974,-0.007,9.646,0.131,-0.042,0.003
11.064051,10736054,10:736:054,0,0,1,0,0,0,0.970,-0.014,9.737,0.129,-0.041,0.003
11.163816,10836053,10:836:053,0,0,1,0,0,0,0.986,-0.045,9.735,0.129,-0.041,0.005
11.264916,10936063,10:936:063,0,0,1,0,0,0,0.986,-0.045,9.735,0.129,-0.041,0.005
11.364126,11036060,11:036:060,0,0,1,0,0,0,0.977,-0.007,9.725,0.130,-0.041,0.004
11.464168,11136049,11:136:049,0,0,1,0,0,0,0.979,-0.024,9.711,0.129,-0.042,0.004
11.564115,11236036,11:236:036,0,0,1,0,0,0,0.979,-0.036,9.740,0.129,-0.041,0.004
11.664014,11336039,11:336:039,0,0,1,0,0,0,0.974,-0.031,9.716,0.129,-0.041,0.003
11.763467,11436032,11:436:032,0,0,1,0,0,0,0.974,-0.031,9.716,0.129,-0.041,0.003
11.864346,11536064,11:536:064,0,0,1,0,0,0,0.982,-0.031,9.716,0.129,-0.041,0.004
11.963066,11636051,11:636:051,0,0,1,0,0,0,0.974,-0.019,9.752,0.129,-0.041,0.004
12.064073,11736062,11:736:062,0,0,1,0,0,0,0.970,-0.036,9.713,0.129,-0.040,0.003
12.163981,11836050,11:836:050,0,0,1,0,0,0,0.974,-0.014,9.725,0.128,-0.041,0.005
12.262834,11936036,11:936:036,0,0,1,0,0,0,0.974,-0.014,9.725,0.128,-0.041,0.005
12.362775,12036034,12:036:034,0,0,0,0,0,0,0.989,-0.036,9.749,0.129,-0.042,0.004
12.462974,12136037,12:136:037,0,0,0,0,0,0,0.977,-0.050,9.725,0.129,-0.041,0.004
12.562871,12236037,12:236:037,0,0,0,0,0,0,0.977,-0.050,9.725,0.129,-0.041,0.004
12.662832,12336045,12:336:045,0,0,0,0,0,0,0.977,-0.050,9.725,0.129,-0.041,0.004
12.764155,12436044,12:436:044,0,0,0,0,0,0,0.977,-0.050,9.725,0.129,-0.041,0.004
12.863774,12536053,12:536:053,0,0,0,0,0,0,0.974,-0.045,9.711,0.129,-0.041,0.004
12.963972,12636064,12:636:064,0,0,0,0,0,0,0.974,-0.045,9.711,0.129,-0.041,0.004
13.064079,12736051,12:736:051,0,0,0,0,0,0,0.974,-0.045,9.711,0.129,-0.041,0.004
13.163954,12836034,12:836:034,0,0,0,0,0,0,0.974,-0.045,9.711,0.129,-0.041,0.004
13.262733,12936044,12:936:044,0,1,0,0,0,0,0.984,-0.034,9.737,0.129,-0.041,0.004
13.362725,13036047,13:036:047,0,1,0,0,0,0,0.984,-0.034,9.737,0.129,-0.041,0.004
13.463926,13136046,13:136:046,0,1,0,0,0,0,0.984,-0.034,9.737,0.129,-0.041,0.004
13.562852,13236055,13:236:055,0,1,0,0,0,0,0.984,-0.034,9.737,0.129,-0.041,0.004
13.662875,13336056,13:336:056,0,1,0,0,0,0,0.986,-0.034,9.773,0.128,-0.041,0.004
13.862795,13536052,13:536:052,0,1,0,0,0,0,0.986,-0.034,9.773,0.128,-0.041,0.004
13.964031,13636052,13:636:052,0,1,0,0,0,0,0.986,-0.034,9.773,0.128,-0.041,0.004
14.062853,13736036,13:736:036,0,0,0,0,0,0,0.965,-0.036,9.711,0.129,-0.041,0.004
14.165848,13836112,13:836:112,0,0,0,0,0,0,0.965,-0.036,9.711,0.129,-0.041,0.004
14.262665,13936036,13:936:036,0,0,0,0,0,0,0.965,-0.036,9.711,0.129,-0.041,0.004
14.363904,14036044,14:036:044,0,0,0,0,0,0,0.965,-0.036,9.711,0.129,-0.041,0.004
14.463027,14136034,14:136:034,0,0,0,0,0,0,0.974,-0.010,9.725,0.129,-0.040,0.003
14.565904,14236048,14:236:048,0,0,0,0,0,0,0.974,-0.010,9.725,0.129,-0.040,0.003
14.662857,14336057,14:336:057,0,0,0,0,0,0,0.974,-0.010,9.725,0.129,-0.040,0.003
14.763934,14436059,14:436:059,0,0,0,0,0,0,0.974,-0.010,9.725,0.129,-0.040,0.003
14.863157,14536065,14:536:065,0,0,0,0,0,0,0.982,-0.017,9.737,0.128,-0.041,0.005
14.963949,14636063,14:636:063,0,0,0,0,0,0,0.982,-0.017,9.737,0.128,-0.041,0.005
15.062911,14736045,14:736:045,0,0,0,0,0,0,0.982,-0.017,9.737,0.128,-0.041,0.005
15.164142,14836069,14:836:069,0,0,0,0,0,0,0.982,-0.017,9.737,0.128,-0.041,0.005
15.263870,14936053,14:936:053,1,0,0,0,0,0,0.953,-0.045,9.720,0.129,-0.040,0.003
15.363664,15036064,15:036:064,1,0,0,0,0,0,0.953,-0.045,9.720,0.129,-0.040,0.003
15.463922,15136049,15:136:049,1,0,0,0,0,0,0.953,-0.045,9.720,0.129,-0.040,0.003
15.563861,15236053,15:236:053,1,0,0,0,0,0,0.953,-0.045,9.720,0.129,-0.040,0.003
15.663888,15336044,15:336:044,1,0,0,0,0,0,0.962,-0.031,9.737,0.128,-0.040,0.004
15.764164,15436067,15:436:067,1,0,0,0,0,0,0.989,-0.029,9.787,0.130,-0.043,0.004
15.864151,15536038,15:536:038,1,0,0,0,0,0,0.977,-0.022,9.747,0.129,-0.040,0.003
15.963930,15636041,15:636:041,0,0,0,0,0,0,0.984,-0.043,9.749,0.129,-0.041,0.003
16.063916,15736051,15:736:051,0,0,0,0,0,0,0.984,-0.043,9.749,0.129,-0.041,0.003
16.162938,15836053,15:836:053,0,0,0,0,0,0,0.970,-0.007,9.716,0.129,-0.041,0.004
16.263892,15936034,15:936:034,0,0,0,0,0,0,0.982,-0.029,9.737,0.128,-0.040,0.003
16.364088,16036067,16:036:067,0,0,0,0,0,0,0.991,-0.012,9.720,0.128,-0.040,0.004
16.462961,16136065,16:136:065,0,0,0,0,0,0,0.967,-0.041,9.706,0.129,-0.041,0.005
16.562864,16236053,16:236:053,0,0,0,0,0,0,0.967,-0.041,9.706,0.129,-0.041,0.005
16.663971,16336044,16:336:044,0,0,0,0,0,0,0.977,-0.022,9.756,0.129,-0.041,0.005
16.763847,16436044,16:436:044,0,0,0,0,0,0,0.972,-0.060,9.725,0.129,-0.041,0.004
16.908384,16536053,16:536:053,0,0,0,0,0,0,0.970,-0.034,9.680,0.129,-0.041,0.005
16.963700,16636034,16:636:034,0,0,0,0,0,0,0.967,-0.034,9.725,0.130,-0.040,0.005
17.063603,16736044,16:736:044,0,0,0,0,0,0,0.967,-0.034,9.725,0.130,-0.040,0.005
17.163401,16836064,16:836:064,0,0,0,0,0,0,0.989,-0.014,9.742,0.129,-0.040,0.004
17.262677,16936053,16:936:053,0,0,0,0,0,0,0.986,-0.022,9.740,0.130,-0.041,0.003
17.363775,17036065,17:036:065,0,0,0,0,0,0,0.984,-0.060,9.701,0.129,-0.041,0.004
17.463707,17136064,17:136:064,0,0,0,0,0,0,0.950,-0.045,9.713,0.129,-0.040,0.003
17.563660,17236034,17:236:034,0,0,0,0,0,0,0.950,-0.045,9.713,0.129,-0.040,0.003
17.664249,17336034,17:336:034,0,0,0,0,0,0,0.977,-0.026,9.756,0.130,-0.039,0.004
17.769361,17436034,17:436:034,0,0,0,0,0,0,0.984,-0.014,9.740,0.129,-0.041,0.005
17.862770,17536057,17:536:057,0,0,0,0,0,0,0.970,-0.010,9.735,0.129,-0.041,0.004
